date,location,time,type,latitude,longitude
2024-06-11,Tampere,07:49:10,Tieliikenneonnettomuus,61.49774257,23.761290078
2024-06-11,Keminmaa,07:47:39,Vahingontorjunta,65.798981364,24.54262919
2024-06-11,Tampere,07:46:07,Tieliikenneonnettomuus,61.49774257,23.761290078
2024-06-11,Harjavalta,07:23:33,Palohälytys,61.313701934,22.141199348
2024-06-11,Helsinki,03:58:00,Liikennetiedote onnettomuudesta. Tilanne ohi.,60.166640739,24.943536799
2024-06-11,Helsinki,06:51:13,Tieliikenneonnettomuus,60.166640739,24.943536799
2024-06-11,Nokia,06:13:25,Vahingontorjunta,61.478773769,23.508499404
2024-06-11,Kotka,06:02:27,Rakennuspalo,60.465520795,26.941152634
2024-06-11,Kuopio,05:38:44,Rakennuspalo,62.892982923,27.688934744
2024-06-11,Kouvola,02:06:00,Ensitiedote liikenneonnettomuudesta.,60.866825214,26.705598153
2024-06-11,Kouvola,05:04:34,Tieliikenneonnettomuus,60.866825214,26.705598153
2024-06-11,Oulu,05:02:46,Palohälytys,65.013784817,25.47209907
2024-06-11,Riihimäki,04:09:30,Palohälytys,60.736737225,24.775321449
2024-06-11,Helsinki,03:55:38,Ihmisen pelastaminen ylhäältä tai alhaalta,60.166640739,24.943536799
2024-06-11,Forssa,03:19:06,Rakennuspalo,60.814791352,23.6164073
2024-06-11,Helsinki,03:18:19,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Helsinki,03:18:19,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Mustasaari,03:09:25,Tieliikenneonnettomuus,63.114054101,21.680745161
2024-06-11,Nokia,02:50:51,Rakennuspalo,61.478773769,23.508499404
2024-06-11,Nokia,02:50:51,Rakennuspalo,61.478773769,23.508499404
2024-06-11,Kajaani,02:39:53,Palohälytys,64.226733925,27.728046683
2024-06-11,Raasepori,02:10:00,Eläimen pelastaminen,59.974552922,23.43622808
2024-06-11,Laukaa,01:50:31,Tieliikenneonnettomuus,62.413528005,25.957777304
2024-06-11,Kotka,01:44:27,Palohälytys,60.465520795,26.941152634
2024-06-11,Savonlinna,01:38:35,Palohälytys,61.869802657,28.87849829
2024-06-11,Helsinki,01:29:49,Tulipalo,60.166640739,24.943536799
2024-06-11,Vesilahti,01:24:07,Rakennuspalo,61.305583862,23.627636445
2024-06-11,Varkaus,01:11:35,Rakennuspalo,62.313950665,27.888587335
2024-06-11,Mikkeli,01:08:10,Rakennuspalo,61.687726895,27.273224374
2024-06-11,Espoo,00:38:46,Palohälytys,60.206376371,24.656728549
2024-06-11,Helsinki,00:36:58,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Laitila,00:30:57,Tieliikenneonnettomuus,60.875860346,21.690233379
2024-06-11,Helsinki,00:22:20,Vahingontorjunta,60.166640739,24.943536799
2024-06-10,Huittinen,23:59:27,Savuhavainto,61.177545666,22.699443932
2024-06-10,Lohja,23:39:19,Rakennuspalo,60.250916253,24.065782053
2024-06-10,Vantaa,23:37:21,Öljy- tai ympäristöonnettomuus maalla,60.298133721,25.006641332
2024-06-10,Siuntio,23:35:52,Tieliikenneonnettomuus,60.138017546,24.224863347
2024-06-10,Lappeenranta,23:26:49,Liikennevälinepalo,61.058749724,28.187689913
2024-06-10,Helsinki,23:09:45,Rakennuspalo,60.166640739,24.943536799
2024-06-10,Kauhava,23:00:45,Tieliikenneonnettomuus,63.100920012,23.065244367
2024-06-10,Ylivieska,22:57:37,Tulipalo,64.072284496,24.533690188
2024-06-10,Helsinki,22:20:23,Vahingontorjunta,60.166640739,24.943536799
2024-06-10,Helsinki,22:19:40,Palohälytys,60.166640739,24.943536799
2024-06-10,Turku,22:12:35,Vahingontorjunta,60.451690351,22.266866666
2024-06-10,Helsinki,21:57:00,Rakennuspalo,60.166640739,24.943536799
2024-06-10,Tampere,21:43:34,Palohälytys,61.49774257,23.761290078
2024-06-10,Ikaalinen,21:43:30,Vahingontorjunta,61.768251116,23.074590925
2024-06-10,Vaasa,21:39:20,Liikennevälinepalo,63.092588875,21.615874122
2024-06-10,Kemi,21:29:12,Liikennevälinepalo,65.733635445,24.56341556
2024-06-10,Turku,21:17:45,Palohälytys,60.451690351,22.266866666
2024-06-10,Laitila,21:09:12,Palohälytys,60.875860346,21.690233379
2024-06-10,Nurmes,21:05:40,Maastopalo,63.544266312,29.132995571
2024-06-10,Oulu,21:04:45,Tieliikenneonnettomuus,65.013784817,25.47209907
2024-06-10,Tampere,21:01:11,Rakennuspalo,61.49774257,23.761290078
2024-06-10,Kotka,20:55:44,Rakennuspalo,60.465520795,26.941152634
2024-06-10,Kaarina,20:52:06,Liikennevälinepalo,60.407620851,22.371004907
2024-06-10,Naantali,20:50:17,Palohälytys,60.467709253,22.018224718
2024-06-10,Karkkila,20:48:22,Vahingontorjunta,60.534934578,24.20821133
2024-06-10,Pieksämäki,20:40:15,Rakennuspalo,62.298590826,27.155481907
2024-06-10,Helsinki,20:34:18,Palohälytys,60.166640739,24.943536799
2024-06-10,Seinäjoki,20:25:36,Öljy- tai ympäristöonnettomuus maalla,62.786662897,22.842279603
2024-06-10,Lappeenranta,20:13:32,Vahingontorjunta,61.058749724,28.187689913
2024-06-10,Raasepori,20:13:31,Vahingontorjunta,59.974552922,23.43622808
2024-06-10,Paimio,20:12:30,Palohälytys,60.455410664,22.691146855
2024-06-10,Järvenpää,20:09:44,Tieliikenneonnettomuus,60.481098394,25.10074741
2024-06-10,Jämsä,20:03:28,Liikennevälinepalo,61.864256654,25.190231473
2024-06-10,Hollola,19:54:49,Vahingontorjunta,60.988606497,25.512813466
2024-06-10,Lahti,19:54:45,Tulipalo,60.980380564,25.654987962
2024-06-10,Helsinki,19:54:24,Eläimen pelastaminen,60.166640739,24.943536799
2024-06-10,Turku,19:53:49,Palohälytys,60.451690351,22.266866666
2024-06-10,Pyhäjoki,19:35:23,Palohälytys,64.465163558,24.259197182
2024-06-10,Kuusamo,19:33:50,Palohälytys,65.964424921,29.18861606
2024-06-10,Nurmijärvi,19:30:12,Öljy- tai ympäristöonnettomuus maalla,60.460806119,24.807369231
2024-06-10,Vantaa,19:28:51,Palohälytys,60.298133721,25.006641332
2024-06-10,Tuusula,19:24:01,Vahingontorjunta,60.402369377,25.025142036
2024-06-10,Pori,19:21:52,Palohälytys,61.483726303,21.795900114
2024-06-10,Uusikaupunki,19:21:22,Tulipalo,60.801207736,21.407727115
2024-06-10,Riihimäki,19:20:47,Palohälytys,60.736737225,24.775321449
2024-06-10,Pälkäne,19:16:26,Maastopalo,61.336821181,24.270409233
2024-06-10,Nurmijärvi,19:06:48,Tieliikenneonnettomuus,60.460806119,24.807369231
2024-06-10,Liminka,19:00:09,Tieliikenneonnettomuus,64.809794749,25.411946267
2024-06-10,Lieksa,18:59:05,Tulipalo,63.317804542,30.028096821
2024-06-10,Tampere,18:58:05,Vahingontorjunta,61.49774257,23.761290078
2024-06-10,Parainen,18:39:23,Vahingontorjunta,60.299124907,22.3023017
2024-06-10,Ylivieska,18:35:18,Savuhavainto,64.072284496,24.533690188
2024-06-10,Riihimäki,18:33:37,Rakennuspalo,60.736737225,24.775321449
2024-06-10,Akaa,18:27:56,Vahingontorjunta,61.167145977,23.865888764
2024-06-10,Säkylä,18:24:42,Vahingontorjunta,61.048361211,22.336785897
2024-06-10,Valkeakoski,18:18:08,Savuhavainto,61.270053249,24.029248502
2024-06-10,Vaasa,18:17:31,Rakennuspalo,63.092588875,21.615874122
2024-06-10,Vaasa,18:17:31,Rakennuspalo,63.092588875,21.615874122
2024-06-10,Vantaa,18:08:57,Eläimen pelastaminen,60.298133721,25.006641332
2024-06-10,Lohja,18:08:34,Vahingontorjunta,60.250916253,24.065782053
2024-06-10,Loimaa,17:55:09,Liikennevälinepalo,60.851362252,23.058593858
2024-06-10,Ylivieska,17:54:35,Ihmisen pelastaminen ylhäältä tai alhaalta,64.072284496,24.533690188
2024-06-10,Savonlinna,17:53:34,Palohälytys,61.869802657,28.87849829
2024-06-10,Kempele,17:47:38,Öljy- tai ympäristöonnettomuus maalla,64.912672171,25.50995188
2024-06-10,Turku,17:47:27,Vahingontorjunta,60.451690351,22.266866666
2024-06-10,Vaasa,17:39:28,Palohälytys,63.092588875,21.615874122
2024-06-10,Vaasa,17:39:21,Palohälytys,63.092588875,21.615874122
2024-06-10,Lohja,17:37:11,Palohälytys,60.250916253,24.065782053
